mode,load,0_densenet161-32,1_efficientnet_b6-2,2_vgg19-2
mps-uncap,0.8,539.9317741394043,271.9287872314453,89.16616439819336
mps-uncap,0.9,642.7438259124756,377.40516662597656,206.0525417327881
mps-uncap,1.0,1805.154800415039,788.5401248931885,1160.9668731689453
mps-uncap,0.5,196.03228569030762,87.06068992614746,31.928300857543945
mps-uncap,0.6,185.2703094482422,103.96122932434082,37.33992576599121
mps-uncap,0.7,370.24378776550293,310.2881908416748,76.37882232666016
mps-uncap,0.1,47.68991470336914,46.44441604614258,12.367010116577148
mps-uncap,0.2,86.78936958312988,55.75156211853027,15.589475631713867
mps-uncap,0.3,96.99368476867676,74.9812126159668,16.675233840942383
mps-uncap,0.4,116.20950698852539,67.11673736572266,25.00128746032715
