mode,load,0_densenet121-4,1_efficientnet_b7-8,2_mobilenet_v2-32
mps-uncap,0.8,156.5856373128134,179.38648605295256,3094.8711992744134
mps-uncap,0.9,182.3722085910002,207.4564529973061,3319.5816447370885
mps-uncap,1.0,183.99977773893644,226.35527002501067,3227.038979564112
mps-uncap,0.5,99.22045802760643,113.83370524636206,1901.3564842346589
mps-uncap,0.6,114.76095000535086,136.41681433829564,2318.685344384761
mps-uncap,0.7,141.7280496641809,162.02315001833892,2570.404714260314
mps-uncap,0.1,18.958036917718324,25.06874770053751,381.16557727862516
mps-uncap,0.2,39.06659467984267,46.69138668175841,771.4649753051184
mps-uncap,0.3,64.29425224417913,65.71308935462334,1122.8526813020032
mps-uncap,0.4,75.10786484036491,94.77962804595896,1473.2322835609282
