mode,load,0_densenet121-4,1_efficientnet_b7-8,2_mobilenet_v2-32
mps-uncap,0.8,148.1576442718504,321.70403003692564,135.36734580993644
mps-uncap,0.9,182.4002265930173,3417.4786615371704,2621.2820720672603
mps-uncap,1.0,3357.031304836273,3954.689073562622,10142.853293418884
mps-uncap,0.5,48.28583002090451,104.41138744354245,37.80158519744871
mps-uncap,0.6,54.69703197479246,120.8104872703552,53.2779216766357
mps-uncap,0.7,86.7914438247682,200.2269506454468,58.34662914276134
mps-uncap,0.1,41.45808696746825,50.040018558502226,19.647200107574466
mps-uncap,0.2,39.18809652328493,54.09960508346555,22.308983802795332
mps-uncap,0.3,38.96176338195801,52.32472419738765,26.112499237060568
mps-uncap,0.4,44.3950939178467,80.16006469726564,29.893462657928467
