mode,load,0_resnet152-32,1_efficientnet_b7-2,2_vgg16-8
mps-uncap,1.0,71.18941307067871,73.85026931762695,13.353142738342278
mig,1.0,60.08444786071777,22.4068021774292,21.03119850158691
