mode,load,0_resnet152-32,1_efficientnet_b7-2,2_vgg16-8
mps-uncap,1.0,69.95892524719238,71.81925773620605,11.89565658569336
mig,1.0,59.11517143249512,21.63095474243164,20.099735260009766
