mode,load,0_resnet152-32,1_efficientnet_b7-2,2_vgg16-8
mps-uncap,1.0,76.28273963928223,76.57408714294434,18.31221580505371
mig,1.0,66.9107437133789,27.843475341796875,24.92690086364746
