mode,load,0_resnet152-32,1_efficientnet_b7-2,2_vgg16-8
mps-uncap,1.0,465.8328418330873,28.898981206828065,832.0661932110393
mig,1.0,557.3435997596192,94.10519698190048,403.671599355775
