mode,load,0_resnet152-32,1_efficientnet_b7-2,2_vgg16-8
mps-uncap,1.0,76.28273963928223,76.57408714294434,18.312454223632812
mig,1.0,66.91098213195801,27.843475341796875,24.92690086364746
