mode,load,0_mobilenet_v2-2,1_mobilenet_v2-4,2_resnet152-2
mps-uncap,0.8,675.3550050761118,1331.6098116169671,186.55352478463558
mps-uncap,0.9,741.0808323926323,1480.0565325136795,209.57288072248642
mps-uncap,1.0,829.8421700209615,1636.9640112262678,240.18407981808625
mps-uncap,0.5,409.04843318667184,833.4277797737104,118.02968329743301
mps-uncap,0.6,495.1467665299805,1012.4013827710005,137.90077423542752
mps-uncap,0.7,581.4551981726742,1133.5754006817688,165.20204167055002
mps-uncap,0.1,81.55781370296279,171.11023122381903,23.844435396020792
mps-uncap,0.2,166.10549680001435,329.02613973164705,44.76441064835127
mps-uncap,0.3,253.3173654195885,500.9831484583903,67.61137219110051
mps-uncap,0.4,330.2042211018832,655.5569704442054,93.66798796731835
