mode,load,0_mobilenet_v2-2,1_mobilenet_v2-4,2_resnet152-2
mps-uncap,0.8,2.3140907287597656,2.3005008697509766,7.639646530151367
mps-uncap,0.9,2.3338794708251953,2.2897720336914062,7.828474044799805
mps-uncap,1.0,2.3818016052246094,2.2971630096435547,7.7915191650390625
mps-uncap,0.5,2.344369888305664,2.283811569213867,7.626652717590332
mps-uncap,0.6,2.2950172424316406,2.311229705810547,7.624387741088867
mps-uncap,0.7,2.301454544067383,2.3245811462402344,7.850408554077148
mps-uncap,0.1,5.626678466796875,5.462169647216797,16.977667808532715
mps-uncap,0.2,5.313634872436523,5.407571792602539,12.679576873779297
mps-uncap,0.3,3.6916732788085938,3.7336349487304688,11.591434478759766
mps-uncap,0.4,3.252744674682617,3.5800933837890625,8.12840461730957
