mode,load,0_mobilenet_v2-2,1_mobilenet_v2-4,2_resnet152-2
mps-uncap,0.8,19.38000202178955,24.0474271774292,51.41186714172363
mps-uncap,0.9,29.045200347900384,41.89338684082036,80.65578937530563
mps-uncap,1.0,306.29879713058466,56.09401226043696,173.69437217712402
mps-uncap,0.5,11.423263549804712,11.06268882751463,24.297566413879355
mps-uncap,0.6,10.237779617309576,9.522247314453127,28.383612632751372
mps-uncap,0.7,14.686107635498047,12.133598327636719,40.95387458801271
mps-uncap,0.1,8.393278121948248,8.926105499267582,22.31250762939453
mps-uncap,0.2,13.81330490112305,13.324365615844728,25.75374603271483
mps-uncap,0.3,14.090194702148441,12.570514678955071,24.110445976257374
mps-uncap,0.4,10.834078788757319,11.500988006591811,25.088047981262203
