mode,load,0_mobilenet_v2-2,1_mobilenet_v2-4,2_resnet152-2
mps-uncap,0.8,3.883838653564453,5.190372467041016,12.546539306640625
mps-uncap,0.9,3.5600662231445312,3.6420822143554688,11.099576950073242
mps-uncap,1.0,4.7588348388671875,3.4093856811523438,10.592460632324219
mps-uncap,0.5,5.458831787109375,5.403041839599609,14.299154281616211
mps-uncap,0.6,5.12385368347168,5.029916763305664,13.924598693847656
mps-uncap,0.7,4.155874252319336,4.364013671875,13.204813003540039
mps-uncap,0.1,7.4825286865234375,6.981849670410156,20.26844024658203
mps-uncap,0.2,7.033348083496094,7.752895355224609,21.90232276916504
mps-uncap,0.3,6.572246551513672,7.254362106323242,20.331621170043945
mps-uncap,0.4,6.177425384521484,6.866455078125,18.95928382873535
