mode,load,0_mobilenet_v3_small-16,1_densenet161-4,2_resnet101-2
mps-uncap,1.0,18.106698989868164,28.904199600219727,22.887706756591797
mig,1.0,16.569137573242188,32.61518478393555,20.661115646362305
