mode,load,0_mobilenet_v3_small-16,1_densenet161-4,2_resnet101-2
mps-uncap,1.0,3825.3915543787416,240.01061966666106,214.5988886977656
mig,1.0,3814.8118530104443,219.1486739338639,217.28271735586762
