mode,load,0_mobilenet_v3_small-16,1_densenet161-4,2_resnet101-2
mps-uncap,1.0,4.151344299316406,16.590118408203125,9.265899658203125
mig,1.0,4.16874885559082,18.146991729736328,9.154796600341797
