mode,load,0_mobilenet_v3_small-16,1_densenet161-4,2_resnet101-2
mps-uncap,1.0,4.690485000610353,17.4990177154541,9.998435974121096
mig,1.0,4.4521164894104,19.553365707397464,9.779272079467773
