mode,load,0_alexnet-32,1_efficientnet_b6-16,2_resnet50-32
mps-uncap,0.8,5.2059173583984375,58.01186561584473,23.11999797821045
mps-uncap,0.9,5.277347564697266,62.62054443359374,24.579882621765137
mps-uncap,1.0,5.789232254028321,62.73908615112305,25.753259658813477
mps-uncap,0.5,4.421329498291016,44.42329406738281,19.650149345397953
mps-uncap,0.6,4.679393768310547,48.043513298034675,20.556926727294922
mps-uncap,0.7,4.842352867126466,54.37464714050294,22.16653823852539
mps-uncap,0.1,2.3126602172851562,26.643610000610355,12.906122207641602
mps-uncap,0.2,3.302621841430664,29.692411422729492,13.890552520751953
mps-uncap,0.3,3.6085128784179688,33.750152587890625,16.901230812072754
mps-uncap,0.4,3.870868682861328,34.577465057373054,17.563056945800785
