mode,load,0_efficientnet_b7-16,1_mobilenet_v2-4,2_resnet50-8
mps-uncap,0.8,26.976704597473145,1.2538433074951172,2.5196075439453125
mps-uncap,0.9,65.1707649230957,3.5626888275146484,10.309219360351562
mps-uncap,1.0,1553.6139011383057,57.94572830200195,108.58392715454102
mps-uncap,0.5,0.05817413330078125,0.04506111145019531,0.04744529724121094
mps-uncap,0.6,1.3960599899291992,0.04553794860839844,0.04506111145019531
mps-uncap,0.7,7.51805305480957,0.6542205810546875,0.06914138793945312
mps-uncap,0.1,0.06270408630371094,0.053882598876953125,0.06198883056640625
mps-uncap,0.2,0.062346458435058594,0.05125999450683594,0.05054473876953125
mps-uncap,0.3,0.0591278076171875,0.04935264587402344,0.049591064453125
mps-uncap,0.4,0.06318092346191406,0.047206878662109375,0.04673004150390625
