mode,load,0_efficientnet_b7-16,1_mobilenet_v2-4,2_resnet50-8
mps-uncap,0.8,112.93938159942628,10.567426681518555,21.95417881011963
mps-uncap,0.9,234.3228816986084,18.740320205688477,49.596023559570305
mps-uncap,1.0,2560.9070777893066,163.39073181152344,293.91250610351574
mps-uncap,0.5,30.494213104248047,5.814385414123536,7.9999685287475595
mps-uncap,0.6,48.100996017456055,7.145166397094727,9.309768676757812
mps-uncap,0.7,67.95916557312012,9.281158447265625,16.76630973815918
mps-uncap,0.1,3.4996986389160587,0.07390975952148438,0.07581710815429688
mps-uncap,0.2,11.324429512023922,2.729654312133789,0.07643699645996091
mps-uncap,0.3,16.832470893859863,4.4496774673461905,3.615736961364746
mps-uncap,0.4,26.939439773559585,5.08589744567871,5.056333541870116
