mode,load,0_vgg13-8,1_vgg13-8
mig,0.1,0.011682510375976562,0.011920928955078125
mig,0.2,0.011444091796875,0.01239776611328125
mig,0.3,0.010728836059570312,0.011682510375976562
mig,0.4,0.01049041748046875,0.010728836059570312
mig,0.5,0.008821487426757812,0.009059906005859375
mig,0.6,0.01049041748046875,0.009298324584960938
mig,0.7,0.009775161743164062,0.010013580322265625
mig,0.8,0.009059906005859375,0.01049041748046875
mig,0.9,0.010013580322265625,0.010013580322265625
mig,1.0,0.009298324584960938,0.010967254638671875
