mode,load,0_vgg16-2,1_mobilenet_v3_large-16,2_resnet18-2
ts,0.1,4.906396865844713,14.771456718444863,6.279015541076662
ts,0.2,3.9312744140625,19.724249839782715,9.605093002319338
ts,0.3,5.099351406097411,20.27737140655518,9.939641952514647
ts,0.4,7.10519790649415,19.68648433685304,13.279230594635012
ts,0.5,11.803245544433599,26.568639278411894,15.782785415649421
ts,0.6,19.18617248535148,41.29878282546986,31.859934329986572
ts,0.7,51.457490921020586,99.01775360107426,444.9707198143008
ts,0.8,2841.208906173706,9123.81250858307,28782.706768512726
ts,0.9,17198.635325431824,18345.583112239838,38515.02242088318
ts,1.0,27326.115856170654,30901.617832183838,48789.171895980835
ts,1.1,36021.963748931885,40809.16110038758,54676.31573677063
ts,1.2,39999.77726459503,44657.99545764924,57511.77825927734
ts,1.3,46209.269189834595,51003.15508365631,63392.08421707153
ts,1.4,53319.88663196564,55923.34675312042,68083.37272405624
ts,1.5,57794.42254066468,61791.88570022582,72144.2403793335
mps-uncap,0.1,3.331322669982911,12.278873920440677,4.825811386108399
mps-uncap,0.2,3.5554695129394567,18.84162425994873,8.869352340698237
mps-uncap,0.3,4.04767036437988,20.703711509704583,10.983228683471683
mps-uncap,0.4,5.248031616210937,19.69590187072753,11.09931230545044
mps-uncap,0.5,6.489505767822267,18.293297290801963,11.200048923492428
mps-uncap,0.6,8.7400197982788,19.028348922729485,8.977489471435542
mps-uncap,0.7,11.644623279571523,21.64715766906738,10.383529663085943
mps-uncap,0.8,26.253173351287842,28.900785446167,22.926836013793974
mps-uncap,0.9,48.89741897583007,59.91554260253894,37.34621524810791
mps-uncap,1.0,220.70162296295152,300.3074884414673,133.91193866729736
mps-uncap,1.1,11299.938764572144,11399.267673492432,11185.729475021362
mps-uncap,1.2,20858.38621854782,20450.5154132843,19296.424674987793
mps-uncap,1.3,32916.639738082886,42880.09595870971,25441.61746263504
mps-uncap,1.4,34154.36800479889,34654.74192857742,38578.20665836334
mps-uncap,1.5,40134.85972881318,40074.31835651398,41117.27980852127
mig,0.1,4.37037467956543,11.260473728179935,3.8600444793701105
mig,0.2,6.473770141601557,12.554435729980469,7.234532833099363
mig,0.3,9.09818410873413,19.031956195831295,7.912750244140628
mig,0.4,11.418957710266072,24.57093954086296,11.533474922180178
mig,0.5,15.81687450408937,31.390161514282227,9.363121986389157
mig,0.6,24.01629686355589,56.381235122680685,9.05128002166746
mig,0.7,36.8299961090088,122.41741180419922,7.703237533569336
mig,0.8,128.83336067199707,528.6202216148372,9.301280975341776
mig,0.9,5513.612489700317,9089.189364910124,12.64648914337157
mig,1.0,17289.871101379395,20055.437774658203,14.46869850158692
mig,1.1,27718.89541149139,30805.72047233582,20.326337814331055
mig,1.2,35240.947697162635,37372.21333503723,59.583456516265805
mig,1.3,41219.33009624481,42600.70860147476,504.55484628677374
mig,1.4,47010.19567966461,48030.05216360092,7411.243486404419
mig,1.5,50658.364658355706,53051.05948448181,13274.598815441132
