mode,load,0_vgg16-2,1_mobilenet_v3_large-16,2_resnet18-2
mps-uncap,0.1,11.17706298828125,38.18678855895996,17.804861068725586
mps-uncap,0.2,12.120485305786133,48.8126277923584,20.694494247436523
mps-uncap,0.3,10.41102409362793,44.62552070617676,27.4050235748291
mps-uncap,0.4,15.291452407836914,41.56374931335449,23.850440979003906
mps-uncap,0.5,16.91150665283203,40.6496524810791,27.178287506103516
mps-uncap,0.6,18.457412719726562,42.43302345275879,19.8822021484375
mps-uncap,0.7,28.574705123901367,52.938222885131836,23.410320281982422
mps-uncap,0.8,59.98849868774414,76.25269889831543,54.02064323425293
mps-uncap,0.9,88.28949928283691,97.67031669616699,61.51843070983887
mps-uncap,1.0,280.5359363555908,374.06396865844727,158.52880477905273
mps-uncap,1.1,11534.82174873352,11589.99228477478,11284.10816192627
mps-uncap,1.2,21046.44751548767,20764.09888267517,19491.420030593872
mps-uncap,1.3,33296.250104904175,43350.159883499146,25764.235734939575
mps-uncap,1.4,34553.54452133179,35068.43566894531,39014.69612121582
mps-uncap,1.5,40582.143783569336,40508.36968421936,41538.85579109192
ts,0.1,19.44446563720703,36.73577308654785,16.582965850830078
ts,0.2,12.937068939208984,40.35043716430664,22.959470748901367
ts,0.3,16.701221466064453,40.54379463195801,34.06095504760742
ts,0.4,19.082307815551758,38.619041442871094,28.454303741455078
ts,0.5,29.003143310546875,67.55948066711426,44.02899742126465
ts,0.6,42.6483154296875,86.26914024353027,66.86592102050781
ts,0.7,85.1588249206543,148.2224464416504,512.183427810669
ts,0.8,2892.0505046844482,9298.059225082397,29108.776807785034
ts,0.9,17392.82512664795,18597.599029541016,38932.379484176636
ts,1.0,27527.7898311615,31300.044775009155,49297.181844711304
ts,1.1,36396.64816856384,41229.7797203064,55244.64988708496
ts,1.2,40413.40208053589,44966.89677238464,58122.38359451294
ts,1.3,46707.87286758423,51515.21801948547,64045.53008079529
ts,1.4,53856.4727306366,56479.65598106384,68733.3869934082
ts,1.5,58331.29978179932,62507.50255584717,72917.3686504364
mig,0.1,13.550758361816406,29.770612716674805,14.27149772644043
mig,0.2,18.9208984375,29.816865921020508,19.185543060302734
mig,0.3,24.6889591217041,43.03336143493652,20.781517028808594
mig,0.4,27.721643447875977,55.78470230102539,26.87978744506836
mig,0.5,36.96131706237793,74.69630241394043,24.094820022583008
mig,0.6,47.71232604980469,96.48776054382324,23.2546329498291
mig,0.7,66.70784950256348,176.08380317687988,16.642332077026367
mig,0.8,161.36503219604492,626.8870830535889,16.666650772094727
mig,0.9,5553.932189941406,9289.515495300293,30.2884578704834
mig,1.0,17476.05037689209,20324.684143066406,23.371219635009766
mig,1.1,27949.443340301514,31129.46581840515,35.03060340881348
mig,1.2,35611.61136627197,37778.754234313965,75.56867599487305
mig,1.3,41738.046407699585,42978.78813743591,534.0561866760254
mig,1.4,47477.79178619385,48675.1549243927,7482.321739196777
mig,1.5,51240.58175086975,53520.74694633484,13385.374069213867
