mode,load,0_vgg16-2,1_mobilenet_v3_large-16,2_resnet18-2
ts,0.1,57.16846598473346,231.5779599911449,73.0885342749181
ts,0.2,112.41908668617786,472.92121527112124,147.23739344052393
ts,0.3,168.19655179386464,706.1036658729261,222.37335413729136
ts,0.4,225.4891006993013,952.2934463649456,290.9699193831361
ts,0.5,284.182058309996,1198.9400368827053,363.48130449730087
ts,0.6,337.0913540598877,1432.075187016392,431.7302223307596
ts,0.7,395.6194090412545,1628.4618187138767,500.83439855701084
ts,0.8,439.4638730586846,1761.9635379267436,439.9624408250057
ts,0.9,440.65390887909274,1766.825512164275,441.0201074449622
ts,1.0,434.0779780688337,1741.5676447388178,434.41537528248193
ts,1.1,434.9339067014712,1748.5487314313045,436.31164082026606
ts,1.2,438.70753433322324,1773.2182021292685,438.8508582625941
ts,1.3,439.94648734186916,1762.919550169763,440.8416196616573
ts,1.4,438.81053472733197,1763.4608438661655,441.0065654502582
ts,1.5,433.98996248852853,1738.596470059747,434.49186810088855
mps-uncap,0.1,56.0630107244683,237.51920710653354,73.13888275998757
mps-uncap,0.2,113.11244590290354,476.3465299891788,147.56593963064228
mps-uncap,0.3,168.1468362224055,709.8547334028025,224.06390832275213
mps-uncap,0.4,226.88181583021967,964.2951319394083,285.7499036129989
mps-uncap,0.5,278.6004772742765,1201.1381596601536,361.80324299829755
mps-uncap,0.6,333.8948143819934,1454.8516467779846,437.4061855235095
mps-uncap,0.7,392.3169569547146,1651.9681991219536,510.27763308065084
mps-uncap,0.8,451.7966328695794,1899.4995955359543,578.638889732849
mps-uncap,0.9,500.0176604387329,2106.9607044311592,649.1861774045185
mps-uncap,1.0,558.6064745060389,2347.298684197929,712.8454086353528
mps-uncap,1.1,560.1398863815937,2378.5000689415083,724.7671979901609
mps-uncap,1.2,560.6079471791631,2374.8399716887543,723.3209163952057
mps-uncap,1.3,528.1474663001942,1991.1922191700558,746.641562248652
mps-uncap,1.4,554.7463499550942,2318.8276184578312,685.184073810551
mps-uncap,1.5,560.4937508822966,2373.917513429307,719.6426187934542
mig,0.1,57.263714608156654,232.75349435943951,74.09524320500022
mig,0.2,115.63809047653591,483.1995596474461,145.69065256675302
mig,0.3,171.72623947781426,699.4313791320258,216.9025171089471
mig,0.4,224.44525004793118,957.8752568802943,293.7561826665956
mig,0.5,279.2447610362925,1190.5969671110124,365.84809899137565
mig,0.6,333.4810359533434,1435.1554991998507,431.502483376708
mig,0.7,399.0408909033795,1648.601434130197,518.6892060338063
mig,0.8,448.5854412501162,1883.0216539410906,577.6455790761968
mig,0.9,480.71173593331963,1975.8567007849517,651.256000209545
mig,1.0,478.4434192413867,1970.3173308838925,708.0895036462442
mig,1.1,476.87572091546696,1948.2942670131276,783.5042890431929
mig,1.2,475.08014831463606,1958.7117394406844,875.9885767021461
mig,1.3,473.41502042368126,1955.160146467775,941.7203501394038
mig,1.4,473.79249001336376,1952.8231467387427,953.0544816214003
mig,1.5,473.43784552767625,1954.2932631666777,964.0188486270232
