mode,load,0_mobilenet_v2-2,1_resnet152-2,2_vgg11-8
mps-uncap,0.8,3.9092302322387695,15.136480331420898,3.5021305084228516
mps-uncap,0.9,4.233717918395996,19.626736640930176,3.6106109619140625
mps-uncap,1.0,4.828214645385742,21.07524871826172,3.7980079650878906
mps-uncap,0.5,4.703760147094727,13.494729995727539,3.324747085571289
mps-uncap,0.6,4.182338714599609,13.072967529296875,3.3843517303466797
mps-uncap,0.7,3.9072036743164062,12.864351272583008,3.437519073486328
mps-uncap,0.1,5.648136138916016,17.740249633789062,3.284931182861328
mps-uncap,0.2,5.709171295166016,17.719745635986328,3.251791000366211
mps-uncap,0.3,5.678653717041016,17.442941665649414,3.306150436401367
mps-uncap,0.4,5.498409271240234,14.249444007873535,3.324270248413086
