mode,load,0_mobilenet_v2-2,1_resnet152-2,2_vgg11-8
mps-uncap,0.8,43.61891746520996,123.70109558105469,60.7144832611084
mps-uncap,0.9,66.77985191345215,165.61126708984375,99.17759895324707
mps-uncap,1.0,375.0460147857666,247.12133407592773,433.4371089935303
mps-uncap,0.5,27.149200439453125,50.14610290527344,19.71149444580078
mps-uncap,0.6,35.49385070800781,62.09254264831543,24.085521697998047
mps-uncap,0.7,32.9129695892334,85.40821075439453,41.10383987426758
mps-uncap,0.1,17.35234260559082,37.06097602844238,7.9975128173828125
mps-uncap,0.2,20.9500789642334,40.98963737487793,13.70859146118164
mps-uncap,0.3,26.868343353271484,46.18239402770996,12.955427169799805
mps-uncap,0.4,28.411388397216797,50.537109375,18.268823623657227
