mode,load,0_vgg19-32,1_resnet18-2,2_squeezenet1_1-8
mps-uncap,1.0,1218.0310550064619,175.68463784523206,701.2839685867981
mig,1.0,641.4912699615153,940.5998077327055,2398.546298143056
