mode,load,0_vgg19-32,1_resnet18-2,2_squeezenet1_1-8
mps-uncap,1.0,27.294754981994625,21.942245960235596,20.760345458984375
mig,1.0,52.36917734146118,2.282078266143798,3.9652729034423824
