mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4,2_mobilenet_v3_small-4,3_mobilenet_v3_small-4
mig,0.1,7.28154182434082,7.28917121887207,6.811857223510742,7.1201324462890625
mig,0.2,7.35926628112793,7.414817810058594,7.305145263671875,7.416725158691406
mig,0.3,7.310152053833008,6.829023361206055,7.117271423339844,7.152795791625977
mig,0.4,6.130218505859375,6.044626235961914,6.145000457763672,6.19196891784668
mig,0.5,5.508661270141602,5.453824996948242,5.45191764831543,5.911588668823242
mig,0.6,5.341291427612305,5.097389221191406,5.104780197143555,5.417346954345703
mig,0.7,4.205226898193359,4.835844039916992,4.093647003173828,5.200862884521484
mig,0.8,3.947734832763672,3.851175308227539,4.55784797668457,3.9882659912109375
mig,0.9,3.1714439392089844,3.294229507446289,3.106832504272461,3.111124038696289
mig,1.0,4.051923751831055,2.8710365295410156,3.0498504638671875,3.0095577239990234
