mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4,2_mobilenet_v3_small-4,3_mobilenet_v3_small-4
mig,0.1,6.375908851623535,6.414725780487056,6.438555717468262,6.450872421264648
mig,0.2,6.719660758972167,6.650638580322265,6.7595529556274405,6.737542152404786
mig,0.3,6.439714431762695,6.219887733459472,6.355905532836914,6.323790550231934
mig,0.4,5.159747600555406,5.292720794677734,5.218257904052736,5.344021320343017
mig,0.5,4.097142219543457,4.1185688972473145,4.118103981018066,4.279484748840332
mig,0.6,3.7157058715820304,3.7607550621032715,3.78507137298584,3.698005676269528
mig,0.7,2.7222371101379403,2.6608753204345703,2.7084255218505873,2.8733015060424805
mig,0.8,2.6293015480041504,2.8878283500671387,2.588319778442382,2.6263570785522456
mig,0.9,2.5552058219909672,2.5572776794433594,2.553162574768067,2.6311492919921866
mig,1.0,2.568960189819336,2.5281906127929688,2.604260444641113,2.543835639953613
