mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4,2_mobilenet_v3_small-4,3_mobilenet_v3_small-4
mig,0.1,167.55860980313918,170.98700817967583,169.88321272507355,158.7231988024473
mig,0.2,341.99039410588915,335.6083792739219,340.9220588180044,329.9147285605769
mig,0.3,511.05820625737385,508.29295623213005,503.35335233686595,487.29426784469416
mig,0.4,678.4480253940188,667.987768685741,667.2294570446488,647.6903920154368
mig,0.5,867.3185551705595,846.2448973531755,842.7962333552697,801.5949897262772
mig,0.6,1014.0243131946617,978.1199686739724,997.7839433499732,982.2351842814429
mig,0.7,1162.2563278400155,1158.672035481174,1181.7020352113343,1136.4493611277746
mig,0.8,1356.564531573334,1363.4922170005655,1330.7338095910893,1287.6199155358668
mig,0.9,1538.639155467677,1509.825261592077,1489.8764998382765,1437.4821104367288
mig,1.0,1650.8681858490665,1661.034720723272,1631.4780590351663,1620.9953293085243
