mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-4,2_mobilenet_v3_small-4,3_mobilenet_v3_small-4
mig,0.1,18.27716827392578,20.967721939086914,21.492481231689453,23.44799041748047
mig,0.2,28.972387313842773,26.45421028137207,26.058197021484375,27.835845947265625
mig,0.3,26.24201774597168,29.25729751586914,37.25290298461914,29.749393463134766
mig,0.4,25.91228485107422,23.92888069152832,22.10545539855957,23.38576316833496
mig,0.5,22.330522537231445,22.366762161254883,22.638320922851562,22.727012634277344
mig,0.6,23.9713191986084,19.152164459228516,43.98846626281738,27.199983596801758
mig,0.7,32.49382972717285,28.730154037475586,27.88066864013672,25.002241134643555
mig,0.8,66.02931022644043,48.06375503540039,44.182777404785156,29.491662979125977
mig,0.9,76.1420726776123,66.02644920349121,47.51944541931152,53.36451530456543
mig,1.0,1855.8149337768555,288.3627414703369,335.3307247161865,156.30507469177246
