mode,load,0_vgg11-16,1_vgg11-16,2_vgg11-16,3_vgg11-16
mig,0.1,18.268561363220215,18.361282348632812,18.386387825012207,35.802459716796875
mig,0.2,18.262195587158203,18.35470199584961,18.373489379882812,35.80660820007324
mig,0.3,18.239521980285645,18.327951431274414,18.352413177490234,35.80656051635742
mig,0.4,18.240046501159668,18.329858779907227,18.340206146240234,35.83989143371582
mig,0.5,18.309354782104492,18.375849723815918,18.41120719909668,35.9783411026001
mig,0.6,18.444061279296875,18.505573272705078,18.523502349853516,36.19425296783447
mig,0.7,18.706464767456055,18.77739429473877,18.773794174194336,36.68022155761719
mig,0.8,18.92719268798828,18.99876594543457,18.993735313415527,37.15164661407471
mig,0.9,19.135427474975586,19.24431324005127,19.24748420715332,37.58401870727539
mig,1.0,19.370317459106445,19.5326566696167,19.536209106445312,37.934041023254395
