mode,load,0_alexnet-8,1_efficientnet_b5-16,2_vgg11-4
mps-uncap,0.8,23.152828216552734,155.7159423828125,40.950775146484375
mps-uncap,0.9,49.913644790649414,369.08411979675293,59.0052604675293
mps-uncap,1.0,252.01988220214844,994.2910671234131,352.69832611083984
mps-uncap,0.5,10.870695114135742,47.53255844116211,13.806819915771484
mps-uncap,0.6,14.884471893310547,62.6375675201416,24.372339248657227
mps-uncap,0.7,19.774675369262695,107.50269889831543,23.017168045043945
mps-uncap,0.1,2.328634262084961,21.13509178161621,3.2982826232910156
mps-uncap,0.2,6.069660186767578,34.1031551361084,6.082296371459961
mps-uncap,0.3,6.93964958190918,33.02717208862305,6.788730621337891
mps-uncap,0.4,6.617069244384766,38.857460021972656,11.79194450378418
