mode,load,0_alexnet-8,1_efficientnet_b5-16,2_vgg11-4
mps-uncap,0.8,4.180908203125,36.35096549987793,6.48045539855957
mps-uncap,0.9,4.396200180053711,36.00764274597168,6.465435028076172
mps-uncap,1.0,4.558563232421875,35.67075729370117,7.171392440795898
mps-uncap,0.5,4.165172576904297,32.369375228881836,6.1702728271484375
mps-uncap,0.6,4.108905792236328,33.161163330078125,6.32786750793457
mps-uncap,0.7,3.865957260131836,36.00144386291504,6.481647491455078
mps-uncap,0.1,3.7565231323242188,22.520065307617188,5.425691604614258
mps-uncap,0.2,3.9391517639160156,24.168014526367188,5.532026290893555
mps-uncap,0.3,3.8957595825195312,24.605989456176758,5.941629409790039
mps-uncap,0.4,4.091978073120117,29.211044311523438,6.011486053466797
