mode,load,0_alexnet-8,1_efficientnet_b5-16,2_vgg11-4
mps-uncap,0.8,0.9770393371582031,16.26753807067871,1.8284320831298828
mps-uncap,0.9,1.0132789611816406,15.490531921386719,1.8362998962402344
mps-uncap,1.0,0.9920597076416016,19.15287971496582,1.8489360809326172
mps-uncap,0.5,1.0037422180175781,15.14124870300293,1.8389225006103516
mps-uncap,0.6,1.0068416595458984,15.396595001220703,1.8355846405029297
mps-uncap,0.7,0.9760856628417969,15.948772430419922,1.8358230590820312
mps-uncap,0.1,0.9844303131103516,15.196561813354492,1.836538314819336
mps-uncap,0.2,0.9768009185791016,15.152454376220703,1.8393993377685547
mps-uncap,0.3,0.980377197265625,15.208005905151367,1.8329620361328125
mps-uncap,0.4,1.005411148071289,15.192508697509766,1.837015151977539
