mode,load,0_alexnet-8,1_efficientnet_b5-16,2_vgg11-4
mps-uncap,0.8,1.735687255859375,25.591373443603516,2.899169921875
mps-uncap,0.9,2.2459030151367188,29.714584350585938,3.702998161315918
mps-uncap,1.0,2.5153160095214844,33.33425521850586,4.031896591186523
mps-uncap,0.5,1.331329345703125,20.052194595336914,2.149820327758789
mps-uncap,0.6,1.530289649963379,21.654367446899414,2.4847984313964844
mps-uncap,0.7,1.5439987182617188,23.250102996826172,2.541065216064453
mps-uncap,0.1,1.2583732604980469,20.82204818725586,1.971125602722168
mps-uncap,0.2,1.2454986572265625,20.44689655303955,1.9528865814208984
mps-uncap,0.3,1.2319087982177734,19.336938858032227,1.9421577453613281
mps-uncap,0.4,1.3086795806884766,19.017934799194336,1.970052719116211
