mode,load,1_resnet101-32,2_resnet101-32,3_mobilenet_v2-2
mps-uncap,0.1,1793.395617316943,1689.116929283956,231.98451336294613
mps-uncap,0.2,1680.7737323002452,1703.3184420081247,220.05481398075335
mps-uncap,0.3,1679.9614577032658,1710.0205706288175,236.56348990642388
mps-uncap,0.4,1412.5745748048555,1635.877223845063,219.32294957541262
mps-uncap,0.5,1659.8189186756872,1660.3018920408042,208.98382505678543
mps-uncap,0.6,1474.821608905083,1370.5612829444794,215.84569193886102
mps-uncap,0.7,1616.0972346201247,709.2333961056702,200.7602888134542
mps-uncap,0.8,679.6221064593376,647.5187233379995,188.93788409140822
mps-uncap,0.9,349.395956308837,707.4595009883247,172.32677441339283
mps-uncap,1.0,131.18008340626702,183.72076531714075,24.748930341739626
mps-uncap,1.1,32.536005136044736,80.07065059940217,4.863226155351861
mps-uncap,1.2,48.58096358376886,69.11059222105077,2.8642278381791924
mps-uncap,1.3,18.578012160105033,13.659532529030317,1.0036542248527678
mps-uncap,1.4,8.65399933318605,24.432351263547126,0.8045364648629295
mps-uncap,1.5,8.296771779272067,9.68035478578149,0.6053965655743442
orion,0.1,275.2104440088994,495.4882545468323,520.5706869673048
orion,0.3,257.242213505224,340.9004641394598,348.63704070917163
orion,0.4,252.73263295262652,284.41985166348803,287.3610100704062
orion,0.5,213.48375320673404,262.90043592525547,235.64878159212017
orion,0.6,260.8586946783598,159.28290511433087,86.93148366923445
orion,0.7,243.27254387729437,15.603816195252882,61.3175126255748
orion,0.8,241.24606004831475,14.3937620112896,16.09269988157617
orion,0.9,248.5626048011302,12.16516839550911,7.024251399540379
orion,1.0,236.45702687110594,5.650241568982988,8.701461316713736
orion,1.1,5.19795894745031,228.44153419266934,7.427070011937607
orion,1.2,4.71041075100791,210.23058137091448,5.393201768235931
orion,1.3,193.12156674078355,4.385471600999796,5.346251868252294
orion,1.4,209.09853548093128,4.321399346726958,4.7624268073525435
orion,1.5,4.212595402410477,203.30614974346557,5.136286493980545
orion,0.2,276.4506712933065,449.2379260159352,451.9694029048222
ts,0.1,1847.5554720221685,1705.8916591390869,237.38839036341204
ts,0.2,1814.8388630544318,1615.4560987966713,241.46245030726777
ts,0.3,1656.873437679255,1590.6049837345977,246.49852452868342
ts,0.4,1537.5576928753933,1553.653396815858,226.649911486181
ts,0.5,1630.486408738836,1397.3842401236316,224.59040809687272
ts,0.6,1185.3840143308155,452.18179695144295,224.45947384783517
ts,0.7,117.5086953923003,381.7014086981818,202.11446427763065
ts,0.8,33.092926275018684,33.15420122034456,192.6822302107327
ts,0.9,35.54953630778582,27.935196189736136,193.36531116054317
ts,1.0,10.11618789813636,12.0837744362573,186.15160397343848
ts,1.1,7.179119826161788,9.354802083734352,184.41814483289497
ts,1.2,7.925917120255722,9.435235964422352,165.45841596154008
ts,1.3,6.590682272752603,11.021798414850942,169.58424628678785
ts,1.4,6.298636837892044,8.653976619112758,148.77235371718075
ts,1.5,5.992253511215514,6.645956634781596,140.18463644160894
