mode,load,1_resnet101-32,2_resnet101-32,3_mobilenet_v2-2
mps-uncap,0.1,17.73238182067871,18.46623420715332,8.601665496826172
mps-uncap,0.2,18.215537071228027,18.86606216430664,8.45956802368164
mps-uncap,0.3,18.431901931762695,18.1121826171875,7.939577102661133
mps-uncap,0.4,17.724037170410156,17.99917221069336,8.30698013305664
mps-uncap,0.5,17.859458923339844,17.49134063720703,8.549213409423828
mps-uncap,0.6,18.939852714538574,18.557071685791016,8.301496505737305
mps-uncap,0.7,17.415523529052734,19.376754760742188,8.402109146118164
mps-uncap,0.8,19.006848335266113,18.899917602539062,8.428215980529785
mps-uncap,0.9,46.32067680358887,18.952131271362305,8.689165115356445
mps-uncap,1.0,172.97720909118652,59.906721115112305,14.117956161499023
mps-uncap,1.1,749.4813203811646,191.06793403625488,329.36060428619385
mps-uncap,1.2,632.3282718658447,502.51615047454834,378.65543365478516
mps-uncap,1.3,1862.7992868423462,2100.2392768859863,1821.3297128677368
mps-uncap,1.4,3920.320749282837,1370.1188564300537,2175.6765842437744
mps-uncap,1.5,3853.410243988037,3102.7166843414307,3337.103843688965
orion,0.1,7.015347480773926,54.98766899108887,54.73458766937256
orion,0.3,7.251739501953125,78.92847061157227,69.10443305969238
orion,0.4,7.072806358337402,113.32225799560547,103.33704948425293
orion,0.5,122.36881256103516,6.902098655700684,115.55826663970947
orion,0.6,6.865143775939941,168.45965385437012,322.2320079803467
orion,0.7,7.104158401489258,2266.4874792099,446.2796449661255
orion,0.8,7.064461708068848,1933.495044708252,1708.4757089614868
orion,0.9,6.839275360107422,2216.547966003418,4638.916730880737
orion,1.0,6.950020790100098,5903.700113296509,3017.825126647949
orion,1.1,6167.757272720337,6.972551345825195,4506.185531616211
orion,1.2,7274.3799686431885,7.203102111816406,6204.897522926331
orion,1.3,7.447004318237305,7477.6647090911865,6352.779150009155
orion,1.4,7.142901420593262,7450.731515884399,6677.947998046875
orion,1.5,7680.232524871826,7.140636444091797,6260.471343994141
orion,0.2,7.053256034851074,61.874985694885254,61.32650375366211
ts,0.1,17.248153686523438,18.755197525024414,8.377552032470703
ts,0.2,17.617344856262207,18.948793411254883,8.037090301513672
ts,0.3,18.616437911987305,18.996834754943848,7.627010345458984
ts,0.4,18.47052574157715,18.263578414916992,8.011937141418457
ts,0.5,18.72539520263672,19.116759300231934,7.944583892822266
ts,0.6,18.436670303344727,18.301963806152344,7.910490036010742
ts,0.7,184.3125820159912,18.77450942993164,8.324146270751953
ts,0.8,720.4210758209229,1000.5559921264648,8.474111557006836
ts,0.9,712.48459815979,1242.1338558197021,7.9871416091918945
ts,1.0,3606.2909364700317,2390.892744064331,8.369803428649902
ts,1.1,4784.306526184082,3088.9217853546143,8.266806602478027
ts,1.2,3617.568254470825,3565.4819011688232,8.72182846069336
ts,1.3,4857.341408729553,2962.901830673218,8.3160400390625
ts,1.4,5057.85059928894,3518.6328887939453,9.611964225769043
ts,1.5,5631.28924369812,4752.980709075928,12.000799179077148
