mode,load,1_resnet101-32,2_resnet101-32,3_mobilenet_v2-2
mps-uncap,0.1,17.57359504699707,18.36705207824707,8.100032806396484
mps-uncap,0.2,18.021106719970703,17.766714096069336,7.936954498291016
mps-uncap,0.3,17.39811897277832,17.945528030395508,7.842540740966797
mps-uncap,0.4,17.521142959594727,17.713546752929688,8.098363876342773
mps-uncap,0.5,17.56453514099121,17.29273796081543,8.45789909362793
mps-uncap,0.6,17.820358276367188,18.217802047729492,7.715702056884766
mps-uncap,0.7,17.288684844970703,19.083261489868164,7.852792739868164
mps-uncap,0.8,17.75074005126953,17.806053161621094,7.787227630615234
mps-uncap,0.9,17.667055130004883,18.650293350219727,8.100271224975586
mps-uncap,1.0,19.356250762939453,18.009424209594727,8.064508438110352
mps-uncap,1.1,19.61684226989746,18.448591232299805,8.329629898071289
mps-uncap,1.2,19.1342830657959,17.77052879333496,8.075714111328125
mps-uncap,1.3,17.5321102142334,89.9500846862793,8.675336837768555
mps-uncap,1.4,18.080711364746094,18.75591278076172,8.968114852905273
mps-uncap,1.5,18.859148025512695,87.5558853149414,8.732318878173828
orion,0.1,6.724357604980469,54.20994758605957,54.039716720581055
orion,0.3,6.8531036376953125,54.04853820800781,54.12697792053223
orion,0.4,6.601810455322266,54.24070358276367,53.507328033447266
orion,0.5,54.125308990478516,6.545782089233398,53.99584770202637
orion,0.6,6.59942626953125,54.483652114868164,54.74519729614258
orion,0.7,6.670236587524414,108.72244834899902,102.03671455383301
orion,0.8,6.470680236816406,114.4261360168457,100.06952285766602
orion,0.9,6.366729736328125,105.42798042297363,118.50357055664062
orion,1.0,6.406307220458984,112.11848258972168,103.64747047424316
orion,1.1,117.83671379089355,6.449460983276367,105.28898239135742
orion,1.2,116.24002456665039,6.60395622253418,106.16540908813477
orion,1.3,6.820917129516602,114.61997032165527,104.95257377624512
orion,1.4,6.470441818237305,119.33445930480957,102.99372673034668
orion,1.5,116.83320999145508,6.371021270751953,110.63909530639648
orion,0.2,6.7462921142578125,54.21614646911621,53.991079330444336
ts,0.1,17.14611053466797,18.495559692382812,8.322477340698242
ts,0.2,17.512798309326172,18.80168914794922,7.959842681884766
ts,0.3,18.51487159729004,18.86153221130371,7.50732421875
ts,0.4,17.489194869995117,18.07260513305664,7.7533721923828125
ts,0.5,18.599987030029297,18.949508666992188,7.864713668823242
ts,0.6,18.27263832092285,17.938852310180664,7.781267166137695
ts,0.7,17.474889755249023,17.56429672241211,7.770538330078125
ts,0.8,17.460346221923828,18.316030502319336,7.887601852416992
ts,0.9,17.43006706237793,18.918275833129883,7.826089859008789
ts,1.0,107.40160942077637,86.21406555175781,7.78651237487793
ts,1.1,110.99648475646973,47.78170585632324,8.128166198730469
ts,1.2,116.50347709655762,97.08023071289062,8.088111877441406
ts,1.3,29.18219566345215,71.67625427246094,7.758378982543945
ts,1.4,94.03395652770996,115.56220054626465,8.369922637939453
ts,1.5,113.4176254272461,18.195390701293945,7.912635803222656
