mode,load,0_alexnet-8,1_resnet50-16,2_squeezenet1_0-4
mps-uncap,0.8,7.908821105957031,41.243839263916016,11.427402496337894
mps-uncap,0.9,16.13135337829591,54.340648651123054,23.372769355773926
mps-uncap,1.0,103.37784290313722,606.4469814300537,543.7678813934328
mps-uncap,0.5,2.955198287963867,14.624166488647463,4.94379997253418
mps-uncap,0.6,3.7792921066284175,19.28844451904297,6.0214996337890625
mps-uncap,0.7,4.832792282104492,23.24655055999756,7.406520843505859
mps-uncap,0.1,1.6576766967773438,7.813978195190429,3.114628791809082
mps-uncap,0.2,1.9679546356201174,8.882522583007812,3.452229499816895
mps-uncap,0.3,2.2869110107421875,11.37518882751465,3.931713104248047
mps-uncap,0.4,2.624130249023438,13.920307159423828,4.515075683593751
