mode,load,0_resnet18-4,1_inception_v3-4,2_vgg16-16
mps-uncap,0.1,0.08845329284667969,0.09751319885253906,0.08630752563476562
mps-uncap,0.2,0.07224082946777344,0.08821487426757812,0.05650520324707031
mps-uncap,0.3,0.05626678466796875,0.06580352783203125,0.05745887756347656
mps-uncap,0.4,0.05507469177246094,0.05936622619628906,0.05555152893066406
mps-uncap,0.5,0.054836273193359375,0.05817413330078125,0.05626678466796875
mps-uncap,0.6,0.05793571472167969,0.05817413330078125,1.7688274383544922
mps-uncap,0.7,0.062465667724609375,0.05805492401123047,5.459070205688477
mps-uncap,0.8,2.1600723266601562,2.809762954711914,11.895179748535156
mps-uncap,0.9,12.006044387817383,20.021677017211914,40.216684341430664
mps-uncap,1.0,277.9736518859863,286.3062620162964,469.0408706665039
mps-uncap,1.1,5506.500720977783,3595.5432653427124,6036.815404891968
mps-uncap,1.2,8657.56893157959,12148.017764091492,10349.966645240784
mps-uncap,1.3,8700.603485107422,14141.069531440735,11748.089790344238
mps-uncap,1.4,8705.764055252075,16471.763610839844,11768.288254737854
mps-uncap,1.5,8989.996433258057,18514.83201980591,11954.38003540039
ts,0.1,0.087738037109375,0.09441375732421875,0.06771087646484375
ts,0.2,0.08416175842285156,0.08821487426757812,0.05817413330078125
ts,0.3,0.05626678466796875,0.06759166717529297,0.0553131103515625
ts,0.4,0.05340576171875,0.060558319091796875,0.05841255187988281
ts,0.5,0.04661083221435547,0.05698204040527344,2.119898796081543
ts,0.6,0.05626678466796875,0.05841255187988281,7.767438888549805
ts,0.7,0.039577484130859375,0.05412101745605469,23.705244064331055
ts,0.8,0.05698204040527344,0.05650520324707031,672.8832721710205
ts,0.9,0.05435943603515625,0.0400543212890625,6863.748788833618
ts,1.0,0.06723403930664062,0.05555152893066406,15262.880802154541
ts,1.1,0.32150745391845703,0.054836273193359375,16006.272554397583
ts,1.2,0.9583234786987305,0.06389617919921875,16519.81031894684
ts,1.3,1.678466796875,0.06222724914550781,17122.050404548645
ts,1.4,2.6395320892333984,1.720428466796875,18111.178517341614
ts,1.5,3.7915706634521484,3.152608871459961,18942.30079650879
mig,0.1,0.09036064147949219,0.053763389587402344,0.06794929504394531
mig,0.2,0.08749961853027344,0.0896453857421875,5.229473114013672
mig,0.3,0.0591278076171875,0.06914138793945312,110.48531532287598
mig,0.4,0.05626678466796875,0.06127357482910156,9454.145431518555
mig,0.5,0.057220458984375,0.05841255187988281,19745.52834033966
mig,0.6,0.05459785461425781,0.056862831115722656,26623.38423728943
mig,0.7,0.05817413330078125,0.05650520324707031,30748.7655878067
mig,0.8,0.056743621826171875,0.05602836608886719,34366.1253452301
mig,0.9,0.05745887756347656,0.056743621826171875,34568.596839904785
mig,1.0,0.058650970458984375,0.05555152893066406,34579.29468154907
mig,1.1,0.06079673767089844,0.055789947509765625,34589.189410209656
mig,1.2,0.06413459777832031,0.05793571472167969,34593.87516975403
mig,1.3,0.05269050598144531,0.054836273193359375,34607.19037055969
mig,1.4,0.21791458129882812,0.0591278076171875,34604.78127002716
mig,1.5,0.1499652862548828,0.06341934204101562,34610.06140708923
