mode,load,0_resnet18-4,1_inception_v3-4,2_vgg16-16
mps-uncap,0.1,4.723548889160156,20.18904685974121,15.173912048339844
mps-uncap,0.2,4.740476608276367,19.82402801513672,12.704730033874512
mps-uncap,0.3,4.560232162475586,19.81353759765625,10.358095169067383
mps-uncap,0.4,4.621744155883789,17.483949661254883,10.367393493652344
mps-uncap,0.5,6.136417388916016,16.633272171020508,10.738849639892578
mps-uncap,0.6,7.137775421142578,17.117738723754883,12.271404266357422
mps-uncap,0.7,8.056402206420898,21.953821182250977,16.255617141723633
mps-uncap,0.8,9.800434112548828,25.945663452148438,23.182392120361328
mps-uncap,0.9,19.9887752532959,43.20633411407471,51.94997787475586
mps-uncap,1.0,286.7920398712158,314.96965885162354,481.1849594116211
mps-uncap,1.1,5514.85800743103,3625.3278255462646,6048.595428466797
mps-uncap,1.2,8666.478633880615,12177.811026573181,10361.79804801941
mps-uncap,1.3,8709.310054779053,14170.54283618927,11759.839534759521
mps-uncap,1.4,8714.428067207336,16498.00968170166,11780.067324638367
mps-uncap,1.5,8999.029397964478,18542.25778579712,11966.28713607788
ts,0.1,4.668712615966797,19.610881805419922,15.241146087646484
ts,0.2,4.771709442138672,19.749045372009277,12.21776008605957
ts,0.3,4.667520523071289,19.312262535095215,12.104988098144531
ts,0.4,4.798531532287598,17.586469650268555,13.97252082824707
ts,0.5,4.906892776489258,15.59901237487793,16.264677047729492
ts,0.6,5.881786346435547,15.564680099487305,20.581722259521484
ts,0.7,4.725933074951172,14.35399055480957,37.7352237701416
ts,0.8,5.904078483581543,13.094186782836914,687.7188682556152
ts,0.9,5.600094795227051,12.655496597290039,6880.602598190308
ts,1.0,5.541324615478516,12.537002563476562,15277.39143371582
ts,1.1,5.43975830078125,12.511730194091797,16022.230863571167
ts,1.2,5.63967227935791,12.872457504272461,16536.71133518219
ts,1.3,6.117820739746094,13.065218925476074,17138.582468032837
ts,1.4,6.979703903198242,13.470172882080078,18129.411220550537
ts,1.5,8.249998092651367,14.07480239868164,18961.581230163574
mig,0.1,4.694461822509766,19.971489906311035,34.79874134063721
mig,0.2,4.616260528564453,18.918275833129883,40.23265838623047
mig,0.3,4.395961761474609,19.34957504272461,145.06447315216064
mig,0.4,4.457712173461914,18.640756607055664,9488.768815994263
mig,0.5,4.524469375610352,15.0909423828125,19780.099749565125
mig,0.6,4.409551620483398,14.854788780212402,26657.96136856079
mig,0.7,4.430055618286133,14.807462692260742,30783.352255821228
mig,0.8,4.439234733581543,14.70029354095459,34400.74443817139
mig,0.9,4.520416259765625,13.941287994384766,34603.19149494171
mig,1.0,4.5223236083984375,11.478304862976074,34613.879919052124
mig,1.1,4.549503326416016,9.734272956848145,34623.79539012909
mig,1.2,4.435539245605469,9.366512298583984,34628.466844558716
mig,1.3,2.8524398803710938,9.213924407958984,34641.7818069458
mig,1.4,3.805875778198242,9.447336196899414,34639.413356781006
mig,1.5,3.5593509674072266,9.331107139587402,34644.66643333435
