mode,load,0_resnet18-4,1_inception_v3-4,2_vgg16-16
mps-uncap,0.1,0.047206878662109375,0.04673004150390625,0.04649162292480469
mps-uncap,0.2,0.028848648071289062,0.04935264587402344,0.03719329833984375
mps-uncap,0.3,0.040531158447265625,0.04506111145019531,0.03695487976074219
mps-uncap,0.4,0.028371810913085938,0.041484832763671875,0.04172325134277344
mps-uncap,0.5,0.025272369384765625,0.03838539123535156,0.0362396240234375
mps-uncap,0.6,0.03647804260253906,0.03600120544433594,0.0247955322265625
mps-uncap,0.7,0.03981590270996094,0.03886222839355469,0.03695487976074219
mps-uncap,0.8,0.038623809814453125,0.03743171691894531,0.025033950805664062
mps-uncap,0.9,0.02288818359375,0.01811981201171875,0.03528594970703125
mps-uncap,1.0,0.03147125244140625,0.04410743713378906,0.04172325134277344
mps-uncap,1.1,0.04935264587402344,0.04935264587402344,0.06127357482910156
mps-uncap,1.2,0.04315376281738281,0.06937980651855469,0.04458427429199219
mps-uncap,1.3,0.03647804260253906,0.04839897155761719,0.04792213439941406
mps-uncap,1.4,0.09679794311523438,0.05626678466796875,0.044345855712890625
mps-uncap,1.5,0.11420249938964844,0.06842613220214844,0.05888938903808594
ts,0.1,0.05030632019042969,0.048160552978515625,0.018835067749023438
ts,0.2,0.04076957702636719,0.05030632019042969,0.0438690185546875
ts,0.3,0.04458427429199219,0.03886222839355469,0.03695487976074219
ts,0.4,0.025510787963867188,0.04220008850097656,0.02574920654296875
ts,0.5,0.017642974853515625,0.03743171691894531,0.030517578125
ts,0.6,0.026941299438476562,0.03695487976074219,0.02765655517578125
ts,0.7,0.013589859008789062,0.024318695068359375,0.028848648071289062
ts,0.8,0.030279159545898438,0.04506111145019531,0.049114227294921875
ts,0.9,0.028133392333984375,0.017881393432617188,0.04673004150390625
ts,1.0,0.02765655517578125,0.03814697265625,0.04982948303222656
ts,1.1,0.034332275390625,0.0362396240234375,0.058650970458984375
ts,1.2,0.02574920654296875,0.039577484130859375,0.06413459777832031
ts,1.3,0.027179718017578125,0.03814697265625,0.062465667724609375
ts,1.4,0.02765655517578125,0.04172325134277344,0.0591278076171875
ts,1.5,0.039577484130859375,0.045299530029296875,0.0705718994140625
mig,0.1,0.05316734313964844,0.028133392333984375,0.04315376281738281
mig,0.2,0.04172325134277344,0.039577484130859375,0.030755996704101562
mig,0.3,0.03409385681152344,0.04458427429199219,0.04315376281738281
mig,0.4,0.046253204345703125,0.04410743713378906,0.03361701965332031
mig,0.5,0.03600120544433594,0.03910064697265625,0.0457763671875
mig,0.6,0.030517578125,0.03981590270996094,0.07128715515136719
mig,0.7,0.03814697265625,0.0362396240234375,0.06413459777832031
mig,0.8,0.028848648071289062,0.03719329833984375,0.06842613220214844
mig,0.9,0.03886222839355469,0.038623809814453125,0.0762939453125
mig,1.0,0.03218650817871094,0.03719329833984375,0.07557868957519531
mig,1.1,0.0324249267578125,0.03743171691894531,0.062465667724609375
mig,1.2,0.034332275390625,0.03933906555175781,0.07963180541992188
mig,1.3,0.026702880859375,0.030517578125,0.06604194641113281
mig,1.4,0.02765655517578125,0.03790855407714844,0.08082389831542969
mig,1.5,0.04029273986816406,0.044345855712890625,0.08130073547363281
