mode,load,0_resnet18-4,1_inception_v3-4,2_vgg16-16
mps-uncap,0.1,46.09919995365223,14.18231914753829,137.049858536566
mps-uncap,0.2,93.23208169703479,27.26302244272497,276.8166955705081
mps-uncap,0.3,138.56071147658295,42.5337781383402,403.58241871970324
mps-uncap,0.4,188.21282437946272,57.385239282130826,540.7267308651507
mps-uncap,0.5,228.01959099317952,67.21791437382649,693.726094449663
mps-uncap,0.6,273.893826843159,85.68123807451744,826.3968993934888
mps-uncap,0.7,315.54511588541953,100.13019524077629,945.1271395243393
mps-uncap,0.8,362.4234784449617,113.34697583610578,1092.4887116610496
mps-uncap,0.9,418.33807881231957,125.83213258987459,1241.1012921557328
mps-uncap,1.0,459.1617084664394,139.72153359352166,1341.3627564313545
mps-uncap,1.1,458.293055261905,138.2578168628894,1351.6603680845085
mps-uncap,1.2,458.71316082258693,137.8568022713387,1359.367757197213
mps-uncap,1.3,458.5978330278984,138.522486384246,1357.6270653377114
mps-uncap,1.4,458.85666112928413,137.9572884547224,1357.8189354848355
mps-uncap,1.5,444.07139525670686,149.351341222286,1336.8232170229066
ts,0.1,47.527393872190075,14.362205796897365,139.4619362549469
ts,0.2,92.62049423082176,28.83211869341603,280.72142575649906
ts,0.3,145.48767459270232,42.14655141489425,410.7390154547991
ts,0.4,181.326910903373,54.52119013857052,544.8778513632568
ts,0.5,235.0300026264067,71.3754147896452,696.4418800727931
ts,0.6,274.6064191844893,84.05267386544263,820.8795008625885
ts,0.7,318.9598269672941,97.1150324578277,988.1978210040063
ts,0.8,362.05359489535005,113.60228478928825,1093.4488696473038
ts,0.9,413.83040404291967,124.35517438137298,1067.7405615767989
ts,1.0,454.9050999531898,141.3276776033992,1032.0773429714643
ts,1.1,499.58266555533555,156.58332338730065,992.6982838076501
ts,1.2,540.9098008197376,168.07586305264346,959.3624764130797
ts,1.3,595.5531372972889,176.11985446454293,928.4144990617572
ts,1.4,643.207880617463,194.68930578383404,880.4726958889612
ts,1.5,685.8768651891941,209.38236594774295,839.235147870218
mig,0.1,44.21283627666288,14.258377191821015,138.39648479489165
mig,0.2,95.35409863879363,27.76333545130245,256.73913900445524
mig,0.3,135.09333386015942,41.68084800610855,422.54404139925833
mig,0.4,185.1291012139349,56.4584631647653,461.894278954021
mig,0.5,229.63172391235287,72.10000888149052,462.0106525466796
mig,0.6,275.73388500218033,85.2513097380624,462.4292602967022
mig,0.7,324.44519483057843,96.76326557602498,462.36607834138704
mig,0.8,370.5721406316174,115.43120868144071,461.9762713699193
mig,0.9,420.2430150987929,125.28530478625822,462.33175846602876
mig,1.0,465.0557421505585,137.49769191866804,462.31801357480356
mig,1.1,495.4141040604573,153.25332648209763,462.2816586681351
mig,1.2,544.7893340386994,165.8801235795976,462.2557925769009
mig,1.3,590.2625905625496,185.7347986742975,462.1079829543484
mig,1.4,645.1247122986815,194.06736301910402,462.1180370201732
mig,1.5,687.4982215510121,211.21559302615157,462.0464231629767
