mode,load,0_densenet169-8,1_efficientnet_b6-4,2_mobilenet_v3_small-2
mps-uncap,0.8,21.847009658813477,23.62370491027832,5.368947982788086
mps-uncap,0.9,28.752803802490234,35.72678565979004,8.934974670410156
mps-uncap,1.0,398.92053604125977,302.63638496398926,135.18738746643066
mps-uncap,0.5,13.331890106201172,14.10365104675293,3.6742687225341797
mps-uncap,0.6,13.35453987121582,14.95349407196045,3.4857988357543945
mps-uncap,0.7,15.78521728515625,17.293214797973633,4.209995269775391
mps-uncap,0.1,19.17266845703125,23.760318756103516,5.899190902709961
mps-uncap,0.2,17.599105834960938,17.77935028076172,6.2628984451293945
mps-uncap,0.3,16.713380813598633,16.50834083557129,5.279541015625
mps-uncap,0.4,13.161063194274902,14.269351959228516,4.1626691818237305
