mode,load,0_densenet169-8,1_efficientnet_b6-4,2_mobilenet_v3_small-2
mps-uncap,0.8,117.33675003051758,147.25971221923828,50.5673885345459
mps-uncap,0.9,194.46158409118652,210.20078659057617,70.72973251342773
mps-uncap,1.0,1080.383062362671,947.2870826721191,357.71846771240234
mps-uncap,0.5,67.40784645080566,58.1660270690918,18.9974308013916
mps-uncap,0.6,76.37500762939453,65.80090522766113,24.468183517456055
mps-uncap,0.7,93.22977066040039,69.87214088439941,26.823043823242188
mps-uncap,0.1,47.20306396484375,42.39034652709961,16.53003692626953
mps-uncap,0.2,33.852577209472656,41.43929481506348,25.25925636291504
mps-uncap,0.3,37.69254684448242,38.422346115112305,23.77033233642578
mps-uncap,0.4,41.449785232543945,53.667545318603516,27.373313903808594
