mode,load,0_densenet169-8,1_efficientnet_b6-4,2_mobilenet_v3_small-2
mps-uncap,0.8,495.26839576010434,244.86996384654606,630.0566376838194
mps-uncap,0.9,570.8865124424358,274.8199654259818,682.5066856813545
mps-uncap,1.0,625.4064378946417,307.13003890547697,781.3256955541589
mps-uncap,0.5,315.05103644274107,154.79871242559523,390.35950280633904
mps-uncap,0.6,378.35907903280673,180.41027158944107,465.35854389297594
mps-uncap,0.7,432.73364229254304,210.86943345484792,551.9188615336825
mps-uncap,0.1,64.8781506536809,28.48086170165346,79.43693503929363
mps-uncap,0.2,123.7304241847285,60.14638192041815,158.979079474599
mps-uncap,0.3,186.20920302831115,88.9540150748244,235.79793486315714
mps-uncap,0.4,243.2671968599199,120.54681145721571,321.8779540965738
