mode,load,0_densenet169-8,1_efficientnet_b6-4,2_mobilenet_v3_small-2
mps-uncap,0.8,12.732839584350586,13.172721862792969,2.7010440826416016
mps-uncap,0.9,12.16130256652832,13.356685638427734,2.8679370880126953
mps-uncap,1.0,12.964963912963867,13.207626342773438,2.7749776840209965
mps-uncap,0.5,13.352370262145996,14.043164253234863,3.88028621673584
mps-uncap,0.6,12.364864349365234,13.518214225769043,2.9271364212036137
mps-uncap,0.7,12.47415542602539,12.891793251037598,2.7709007263183594
mps-uncap,0.1,25.110149383544922,25.22735595703125,6.267547607421875
mps-uncap,0.2,18.480396270751953,18.84732246398926,6.551980972290039
mps-uncap,0.3,17.988252639770508,17.988204956054688,5.608224868774414
mps-uncap,0.4,16.633963584899902,17.080116271972656,4.109382629394531
