mode,load,0_densenet169-8,1_efficientnet_b6-4,2_mobilenet_v3_small-2
mps-uncap,0.8,9.873151779174805,10.02049446105957,2.3043155670166016
mps-uncap,0.9,9.859085083007812,10.212898254394531,2.2668838500976562
mps-uncap,1.0,9.96708869934082,10.25390625,2.3162364959716797
mps-uncap,0.5,10.091304779052734,10.19740104675293,2.271413803100586
mps-uncap,0.6,9.985923767089844,10.212182998657227,2.285003662109375
mps-uncap,0.7,9.955406188964844,10.128974914550781,2.3026466369628906
mps-uncap,0.1,9.801149368286133,10.058403015136719,2.2759437561035156
mps-uncap,0.2,9.741783142089844,10.083198547363281,2.3560523986816406
mps-uncap,0.3,9.785652160644531,10.045528411865234,2.315521240234375
mps-uncap,0.4,9.742259979248047,9.956121444702148,2.2878646850585938
