mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,1.9218921661376953,16.332602500915527,4.45556640625
mps-uncap,0.9,1.9564628601074219,16.669273376464844,4.438161849975586
mps-uncap,1.0,1.7931461334228516,16.264963150024414,4.473686218261719
mps-uncap,0.5,2.066493034362793,16.486096382141113,4.524946212768555
mps-uncap,0.6,1.8436908721923828,17.108678817749023,4.435062408447266
mps-uncap,0.7,1.7769336700439453,16.67780876159668,4.4536590576171875
mps-uncap,0.1,2.2648096084594727,27.161145210266113,9.544754028320312
mps-uncap,0.2,2.0302772521972656,24.12242889404297,7.920026779174805
mps-uncap,0.3,2.0415782928466797,18.045854568481445,6.370639801025391
mps-uncap,0.4,1.847982406616211,17.248988151550293,4.8809051513671875
