mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,1.1336803436279297,15.213727951049805,4.335165023803711
mps-uncap,0.9,1.177072525024414,15.150308609008789,4.292011260986328
mps-uncap,1.0,1.2402534484863281,15.475034713745117,4.302263259887695
mps-uncap,0.5,1.0273456573486328,15.107154846191406,4.047632217407227
mps-uncap,0.6,1.0857582092285156,15.290975570678711,3.971576690673828
mps-uncap,0.7,1.065969467163086,15.056610107421875,4.132986068725586
mps-uncap,0.1,1.1565685272216797,15.174150466918945,4.082441329956055
mps-uncap,0.2,1.0867118835449219,14.996051788330078,4.017829895019531
mps-uncap,0.3,1.0445117950439453,15.088796615600586,3.9396286010742188
mps-uncap,0.4,1.0356903076171875,14.981269836425781,4.011869430541992
