mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,4162.812144750268,203.09702535593357,938.3354935512041
mps-uncap,0.9,4579.291021341301,233.26159317587502,939.4124444397703
mps-uncap,1.0,5161.846979041146,249.64914729148026,931.1386382037039
mps-uncap,0.5,2585.4345617648596,126.70360011648388,664.1757016344098
mps-uncap,0.6,3098.466759279292,154.13531290903302,793.2619008432702
mps-uncap,0.7,3556.5846291105536,185.262603442824,934.0957070147338
mps-uncap,0.1,547.4385516431165,25.562076705475228,132.6511897103643
mps-uncap,0.2,1054.9144623017592,49.96710874523604,261.0648876419443
mps-uncap,0.3,1571.9561940163999,77.1071883827685,396.8593678915221
mps-uncap,0.4,2088.7723930013767,104.27299464337086,549.6802978610767
