mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,54.33797836303711,250.69451332092285,7394.8400020599365
mps-uncap,0.9,94.91991996765137,547.3108291625977,13698.365688323975
mps-uncap,1.0,412.9517078399658,1865.9086227416992,18515.8634185791
mps-uncap,0.5,15.478849411010742,89.5841121673584,54.70871925354004
mps-uncap,0.6,22.396326065063477,134.01532173156738,98.41728210449219
mps-uncap,0.7,16.924381256103516,170.81546783447266,870.6791400909424
mps-uncap,0.1,6.231546401977539,56.95652961730957,27.281522750854492
mps-uncap,0.2,17.61031150817871,59.648752212524414,34.90471839904785
mps-uncap,0.3,16.71576499938965,80.4908275604248,27.955293655395508
mps-uncap,0.4,15.01011848449707,62.91460990905762,28.411865234375
