mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,51.648855209350586,235.5024814605713,7390.6261920928955
mps-uncap,0.9,93.38665008544922,531.3310623168945,13691.745281219482
mps-uncap,1.0,411.38553619384766,1850.1262664794922,18503.12900543213
mps-uncap,0.5,13.167619705200195,73.88019561767578,50.45127868652344
mps-uncap,0.6,20.600318908691406,117.98095703125,94.34199333190918
mps-uncap,0.7,15.686511993408203,155.26223182678223,866.1603927612305
mps-uncap,0.1,4.251718521118164,41.56136512756348,19.476652145385742
mps-uncap,0.2,5.300760269165039,43.25413703918457,29.645204544067383
mps-uncap,0.3,8.710622787475586,65.32430648803711,24.02782440185547
mps-uncap,0.4,12.851476669311523,47.06907272338867,24.267911911010742
