mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,4.449129104614258,37.22023963928223,3643.2106494903564
mps-uncap,0.9,11.40904426574707,83.44769477844238,6989.446401596069
mps-uncap,1.0,260.2883577346802,1059.8232746124268,9306.495428085327
mps-uncap,0.5,1.7893314361572266,17.027854919433594,7.650613784790039
mps-uncap,0.6,2.079486846923828,23.018836975097656,11.283636093139648
mps-uncap,0.7,2.396821975708008,30.090808868408203,487.22124099731445
mps-uncap,0.1,1.7976760864257812,24.156570434570312,8.980512619018555
mps-uncap,0.2,1.7669200897216797,17.610788345336914,7.357120513916016
mps-uncap,0.3,1.6634464263916016,17.258048057556152,5.786657333374023
mps-uncap,0.4,1.5680789947509766,17.145276069641113,5.75566291809082
