mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,2.833127975463867,21.293163299560547,3638.9578580856323
mps-uncap,0.9,9.75644588470459,67.2903060913086,6985.181450843811
mps-uncap,1.0,258.75210762023926,1043.9751148223877,9302.342414855957
mps-uncap,0.5,0.024318695068359375,0.05340576171875,3.434896469116211
mps-uncap,0.6,0.5469322204589844,6.995439529418945,7.14874267578125
mps-uncap,0.7,0.9114742279052734,14.228105545043945,482.87880420684814
mps-uncap,0.1,0.027418136596679688,0.039696693420410156,0.028133392333984375
mps-uncap,0.2,0.025033950805664062,0.028133392333984375,0.023126602172851562
mps-uncap,0.3,0.025510787963867188,0.028371810913085938,0.02765655517578125
mps-uncap,0.4,0.016689300537109375,0.027418136596679688,1.3248920440673828
