mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,1.5652179718017578,15.803098678588867,4.213571548461914
mps-uncap,0.9,1.6133785247802734,15.799522399902344,4.2133331298828125
mps-uncap,1.0,1.5137195587158203,15.831470489501953,4.26030158996582
mps-uncap,0.5,1.3892650604248047,15.719294548034668,4.186868667602539
mps-uncap,0.6,1.4407634735107422,16.03221893310547,4.117250442504883
mps-uncap,0.7,1.4367103576660156,15.770673751831055,4.213094711303711
mps-uncap,0.1,1.7461776733398438,18.825531005859375,8.291959762573242
mps-uncap,0.2,1.703023910522461,16.802310943603516,6.183624267578125
mps-uncap,0.3,1.4624595642089844,16.194581985473633,4.282236099243164
mps-uncap,0.4,1.3594627380371094,15.71500301361084,4.150390625
