mode,load,0_alexnet-8,1_efficientnet_b5-4,2_mobilenet_v2-4
mps-uncap,0.8,1.0950565338134766,15.064239501953125,4.012584686279297
mps-uncap,0.9,1.0902881622314453,15.04659652709961,3.9794445037841797
mps-uncap,1.0,1.1107921600341797,15.032529830932617,4.040956497192383
mps-uncap,0.5,1.0082721710205078,15.069246292114258,4.0187835693359375
mps-uncap,0.6,1.0602474212646484,15.202999114990234,3.9339065551757812
mps-uncap,0.7,1.0383129119873047,14.954805374145508,4.034996032714844
mps-uncap,0.1,1.1394023895263672,14.922380447387695,4.046201705932617
mps-uncap,0.2,1.0716915130615234,14.884710311889648,3.9920806884765625
mps-uncap,0.3,1.0225772857666016,15.02227783203125,3.9098262786865234
mps-uncap,0.4,1.0216236114501953,14.939308166503906,3.974437713623047
