mode,load,0_inception_v3-2,1_inception_v3-2,2_inception_v3-2,3_inception_v3-2
mig,0.1,25.712203979492255,28.485269546508775,27.117559909820528,25.734786987304595
mig,0.2,29.525120258331278,31.6862654685974,29.28482055664071,28.18949222564698
mig,0.3,28.203821182250984,25.734405517578143,27.391328811645497,30.970942974090555
mig,0.4,25.679614543914727,26.526820659637465,25.33223152160645,28.92473220825195
mig,0.5,24.555325508117683,24.711012840271007,25.813360214233438,32.96133518218995
mig,0.6,28.115200996398922,29.239006042480465,25.9539842605591,37.064065933227546
mig,0.7,38.73261213302613,39.6624994277954,34.0887975692749,58.6136341094968
mig,0.8,52.3207426071167,86.88470125198364,59.87460136413574,90.55807113647441
mig,0.9,88.69680404663086,78.34362745285033,116.69263839721673,159.62136030197138
mig,1.0,697.3592805862426,600.3539156913757,529.990224838257,984.9338030815126
