mode,load,0_inception_v3-2,1_inception_v3-2,2_inception_v3-2,3_inception_v3-2
mig,0.1,38.191931455997015,40.10735653622863,38.65946795828725,29.004757111934875
mig,0.2,76.61950588304389,76.9738556904398,77.05793363639462,56.273121367637536
mig,0.3,115.1225965936985,113.98355933708706,116.27617108445129,80.98206915474799
mig,0.4,154.29960653368082,158.32893733597243,157.95621799833668,109.70091351832502
mig,0.5,199.01651754891643,193.7867450906019,192.28349477144914,133.87654139972867
mig,0.6,230.8414069980144,235.8988217291493,232.03660092099344,160.85384330542666
mig,0.7,270.23612294864097,276.42071954737224,267.0827875065348,191.78294388749106
mig,0.8,303.5546625633968,314.47958862235106,315.34261817688065,225.97520075066558
mig,0.9,347.1364640072714,349.3225037370971,352.612790615255,247.41979140222995
mig,1.0,387.17535163430216,391.9387910872793,385.22904974927457,272.2740335806222
