mode,load,0_efficientnet_b5-32,1_inception_v3-8,2_resnet18-4
mps-uncap,0.8,358.9676856994627,156.89725399017337,65.47539710998517
mps-uncap,0.9,311.3740062713623,307.88641452789284,72.29008197784422
mps-uncap,1.0,1472.469601631165,4531.155767440796,2262.715890407562
mps-uncap,0.5,109.51350688934325,50.933814048767154,16.810865402221694
mps-uncap,0.6,143.01073551177979,64.39144134521483,19.495444297790517
mps-uncap,0.7,214.7259902954101,84.71170425415045,24.65224266052246
mps-uncap,0.1,45.16747713088991,23.02954196929931,7.850663661956809
mps-uncap,0.2,72.15866088867178,30.363993644714352,9.146556854248027
mps-uncap,0.3,82.46248006820683,33.64428281784057,11.177253723144528
mps-uncap,0.4,87.83483028411854,35.32501697540283,13.83627891540528
