mode,load,0_efficientnet_b5-32,1_inception_v3-8,2_resnet18-4
mps-uncap,0.8,728.0151571639782,332.9798377984744,642.4941710156825
mps-uncap,0.9,811.3044463351177,376.7223174823982,694.2351784100947
mps-uncap,1.0,936.5101687757417,392.6173463803923,748.004714518956
mps-uncap,0.5,460.4158936941033,206.00907468766903,385.18286087443386
mps-uncap,0.6,537.0976868060003,242.0534878170657,460.5447434791965
mps-uncap,0.7,666.4350252246219,281.93816704588016,542.3424569521031
mps-uncap,0.1,88.81199998885997,37.42261296016913,75.77270184318911
mps-uncap,0.2,180.39765668689665,83.40821552290925,154.01359396903476
mps-uncap,0.3,278.19980840827816,122.36109097448117,231.19459735199527
mps-uncap,0.4,360.30723543823837,161.03749430059628,304.48951053177007
