mode,load,0_efficientnet_b5-32,1_inception_v3-8,2_resnet18-4
mps-uncap,0.8,414.95561599731445,210.31641960144043,98.06180000305176
mps-uncap,0.9,348.2637405395508,373.57449531555176,91.47763252258301
mps-uncap,1.0,1589.2858505249023,4580.460071563721,2446.086645126343
mps-uncap,0.5,150.557279586792,70.23835182189941,32.24825859069824
mps-uncap,0.6,200.8211612701416,125.26154518127441,38.28740119934082
mps-uncap,0.7,283.27202796936035,153.94902229309082,56.005239486694336
mps-uncap,0.1,50.51255226135254,29.79898452758789,13.875246047973633
mps-uncap,0.2,106.28104209899902,37.31131553649902,15.33818244934082
mps-uncap,0.3,111.23132705688477,44.775962829589844,21.126508712768555
mps-uncap,0.4,118.44682693481445,53.7714958190918,22.684097290039062
