mode,load,0_densenet161-16,1_efficientnet_b6-2,2_squeezenet1_0-16
mps-uncap,0.8,33.698320388793945,31.709671020507812,8.368968963623047
mps-uncap,0.9,35.54201126098633,31.54277801513672,8.15272331237793
mps-uncap,1.0,35.21919250488281,33.05554389953613,8.465766906738281
mps-uncap,0.5,31.78572654724121,29.906511306762695,8.224248886108398
mps-uncap,0.6,34.912109375,31.257152557373047,8.015155792236328
mps-uncap,0.7,34.037113189697266,30.37261962890625,9.24062728881836
mps-uncap,0.1,26.367902755737305,30.324697494506836,8.116483688354492
mps-uncap,0.2,27.33612060546875,28.015851974487305,8.164405822753906
mps-uncap,0.3,29.891252517700195,28.62381935119629,7.87663459777832
mps-uncap,0.4,31.712770462036133,28.54776382446289,8.201122283935547
